Feature Percentage,DeepSeek-R1+RandomForest
10%,0.7578214285714285
20%,0.7765595238095239
30%,0.7979761904761904
40%,0.8000714285714287
50%,0.7912619047619047
60%,0.7895952380952381
70%,0.7918095238095239
80%,0.7920714285714285
90%,0.7862380952380952
100%,0.7894523809523809
